pos,key_resp.corr,key_resp.rt,,seq,rand
-50,1,0.561247,,0.561247,0.5499782
150,1,0.3960614,,0.3960614,0.5687741
50,1,0.6962683,,0.6962683,0.3584344
-150,1,0.3277502,,0.3277502,0.9486386
-50,1,0.4839238,,0.4839238,0.405844
150,1,0.6339886,,0.6339886,0.4359457
50,1,0.7055729,,0.7055729,0.5289467
-150,1,0.3955057,,0.3955057,0.5290659
-50,1,0.539571,,0.539571,0.5050371
150,1,0.5534476,,0.5534476,0.6373119
50,1,0.5938936,,0.5938936,0.8136612
-150,1,0.3462111,,0.3462111,0.3690309
-50,1,0.665658,,0.665658,0.4968992
150,1,0.4175194,,0.4175194,0.4559476
50,0,0.4817783,,0.4817783,0.296455
-150,1,0.446602,,0.446602,0.3366965
-50,1,0.5505659,,0.5505659,0.5743091
150,1,0.5422616,,0.5422616,0.4122971
50,1,0.6178925,,0.6178925,0.3832475
-150,1,0.6280743,,0.6280743,0.6883651
-50,1,0.5179014,,0.5179014,0.3814841
150,1,0.3130912,,0.3130912,0.4460467
50,1,0.7255938,,0.7255938,0.5908645
-150,1,0.383986,,0.383986,0.5539477
-50,1,0.4258658,,0.4258658,0.6247967
150,1,0.3752498,,0.3752498,0.4394887
50,1,1.1804194,,1.1804194,0.3466714
-150,1,0.3331588,,0.3331588,0.5756244
-50,1,0.3680589,,0.3680589,0.5100986
150,1,0.3520193,,0.3520193,0.3961529
50,1,0.6336176,,0.6336176,0.6501309
-150,1,0.4077285,,0.4077285,0.4222578
-50,1,0.5197443,,0.5197443,0.3695532
150,1,0.3231427,,0.3231427,0.4699289
50,0,0.1106961,,0.1106961,0.609768
-150,1,0.4257296,,0.4257296,0.4709517
-50,1,0.5365444,,0.5365444,0.5422773
150,1,0.5549331,,0.5549331,0.5347123
50,1,0.6224874,,0.6224874,0.8460526
-150,1,0.3411761,,0.3411761,0.4182513
-50,1,0.4051105,,0.4051105,0.3210456
150,1,0.3758174,,0.3758174,0.4875578
50,1,0.7621689,,0.7621689,0.4892652
-150,1,0.3420229,,0.3420229,0.436118
-50,1,0.575564,,0.575564,0.4709172
150,1,0.4601591,,0.4601591,0.3189277
50,1,0.7633953,,0.7633953,0.5834017
-150,1,0.4600804,,0.4600804,0.2706756
-50,1,0.7385918,,0.7385918,0.3911299
150,1,0.351184,,0.351184,0.4181053
50,1,0.6541014,,0.6541014,0.7803856
-150,1,0.4048837,,0.4048837,0.5413265
-50,1,0.406183,,0.406183,0.5604132
150,1,0.5481012,,0.5481012,0.3543224
50,1,0.6264256,,0.6264256,0.3850752
-150,1,0.4036796,,0.4036796,0.4234587
-50,1,0.465601,,0.465601,0.3455237
150,1,0.3669731,,0.3669731,0.5041614
50,1,0.7303071,,0.7303071,0.5705486
-150,1,0.4367778,,0.4367778,0.6022701
-50,1,0.7930907,,0.7930907,0.367004
150,1,0.3896375,,0.3896375,0.4833611
50,1,0.746459,,0.746459,0.5961322
-150,1,0.377397,,0.377397,0.4440306
-50,1,0.3402621,,0.3402621,0.3669883
150,1,0.4020329,,0.4020329,0.3915506
50,0,0.523688,,0.523688,0.484503
-150,1,0.4282401,,0.4282401,0.4027683
-50,1,0.4933749,,0.4933749,0.4236249
150,1,0.3177005,,0.3177005,0.3497895
50,1,0.6929964,,0.6929964,0.479803
-150,1,0.4640275,,0.4640275,0.3741967
-50,1,0.7325677,,0.7325677,0.5372828
150,1,0.4121824,,0.4121824,0.4307932
